city,floorarea,bathrooms,address,latitude,price,bedrooms,zipcode,longitude
Austin,,3,11632 Manchaca Rd # 6CT8JQ,30.1496,233990,2,78748,-97.834153
Austin,,3,11632 Manchaca Rd # UH3TJ0,30.1496,235990,3,78748,-97.834153
Austin,,2.5,9301 Lost Bridge Ln # 7QUIYA,30.173726,285990,2,78748,-97.809359
Austin,2416,3,2125 Ocallahan Dr,30.147011,279900,4,78748,-97.843755
Austin,1824,2,912 Kavanagh Dr,30.179693,259000,3,78748,-97.804988
Austin,2012,3,10218 Laredo Dr # 100,30.168265,279900,3,78748,-97.825472
Austin,2448,3,9413 Sawyer Fay Ln,30.166028,363460,5,78748,-97.796698
Austin,1590,3,428 Celery Loop,30.177034,249000,3,78748,-97.79037
Austin,1436,3,748 Patchway Ln,30.185274,269900,3,78748,-97.797649
Austin,1515,2,2028 Coats Cir,30.160166,239900,3,78748,-97.835046
Austin,1880,3,10008 Wading Pool Path,30.169972,293000,3,78748,-97.819732
Austin,2653,2.5,10509 Antelope Run,30.174901,499000,3,78748,-97.850048
Austin,1610,2,5912 Charles Schreiner Trl,30.225612,340000,3,78749,-97.864632
Austin,1807,2,1314 Falcon Ledge Dr APT 117,30.288393,549000,3,78746,-97.842687
Austin,1552,3,7500 Shadowridge Run UNIT 25,30.226568,260000,3,78749,-97.874847
Austin,1608,2,8507 Ganttcrest Dr,30.210746,340000,3,78749,-97.866942
Austin,2181,3,7608 Hawkeye Dr,30.220951,409000,3,78749,-97.864281
Austin,2074,2,5403 Wolf Run,30.230672,365000,4,78749,-97.851191
Austin,1555,3,8502 Abilene Cv,30.214478,325000,3,78749,-97.874525
Austin,1257,2,7501 Shadowridge Run UNIT 132,30.226568,200000,2,78749,-97.874847
Austin,1537,3,7506 Bender Dr,30.208541,299500,3,78749,-97.836218
Austin,2736,3,1719 Ben Crenshaw Way,30.284062,830000,4,78746,-97.844877
Austin,5980,6,29 Pascal Ln,30.314447,1799000,5,78746,-97.831655
Austin,3474,4,305 Almarion Dr,30.274244,1449000,5,78746,-97.782393
Austin,1805,2,2226 Westlake Dr UNIT 8,30.303439,499500,3,78746,-97.784534
Austin,1983,3,2401 Sutherland St,30.2906,599000,3,78746,-97.8057
Austin,2203,3,5205 Wheeler Branch Cir,30.222365,440000,3,78749,-97.854506
Austin,2211,2,6403 Abilene Trl,30.214711,389900,4,78749,-97.877562
Austin,2063,3,8618 Coastal Dr,30.200343,309000,4,78749,-97.847118
Austin,2562,3,5416 Batak Ln,30.202296,443000,3,78749,-97.872451
Austin,3030,3,6215 Salcon Cliff Dr,30.206193,449900,4,78749,-97.881401
Austin,1863,2,5616 Taylorcrest Dr,30.206148,380000,3,78749,-97.871505
Austin,1927,3,5515 Davis Ln UNIT 23,30.207697,311950,3,78749,-97.867784
Austin,3103,4,3817 Westlake Dr,30.326392,3390000,3,78746,-97.77966
Austin,1623,2,2226 Westlake Dr UNIT 7,30.303439,497500,2,78746,-97.784534
Austin,1983,3,2511 Sutherland St,30.261317,599000,Studio,78746,-97.811826
Rollingwood,1524,2,4826 Rollingwood Dr,30.274269,1159000,3,78746,-97.788236
Austin,4545,5,808 Stonewall Ridge Ln,30.297543,1175000,5,78746,-97.839589
Austin,4200,3,405 Canyon Rim Dr,30.296059,899900,4,78746,-97.841588
Austin,5388,5,3904 Toro Canyon Rd,30.331724,1975000,4,78746,-97.790866
Austin,1966,2,6108 John Chisum Ln,30.223537,365000,3,78749,-97.869101
Austin,2058,3,5812 Taylorcrest Dr,30.208132,365000,3,78749,-97.873845
Austin,1304,2.5,4620 W William Cannon Dr APT 53,30.224576,265000,2,78749,-97.84415
Austin,2080,2.5,6133 Jumano Ln,30.227337,365000,3,78749,-97.865443
AUSTIN,2683,4,7613 Hawkeye Dr,30.220676,485000,4,78749,-97.863754
Austin,1343,2,7605 Melville Cv,30.208774,249999,3,78749,-97.839051
Austin,1295,2,4405 Kalama Dr,30.207323,275000,3,78749,-97.851014
West Lake Hills,2014,2,4904 Bee Caves Rd # B,30.29106,1250000,3,78746,-97.816576
Austin,7621,7,3806 Corum Cv,30.32931,2850000,5,78746,-97.788272
Austin,5458,5,4600 Charles Ave,30.347387,1850000,5,78746,-97.807187
Austin,5531,6,4126 Westlake Dr,30.334134,2995000,5,78746,-97.795428
Austin,3446,3.5,2922 Thousand Oaks Dr,30.265971,1200000,4,78746,-97.79651
Austin,2590,3,1912 Holly Hill Dr,30.260646,745000,3,78746,-97.802363
Austin,5224,5,10309 Indigo Broom Loop,30.309586,975000,5,78733,-97.894948
Austin,2117,4,8601 Ganttcrest Dr,30.209978,370000,4,78749,-97.868287
Austin,4094,5,1701 Wild Basin Ldg,30.309124,1950000,5,78746,-97.800318
Austin,2709,3,2003 Cypress Pt W,30.279486,699000,4,78746,-97.845315
Austin,6871,6,712 Brandon Way,30.323188,2895000,5,78733,-97.858826
Bee Cave,4785,6,11708 Astoria Dr,30.304353,1000000,5,78738,-97.922205
