schooldistance,address,schoolrating
1.0,4512 Spanish Oaks Club Blvd,10
1.5,3805 Serene Hills Dr,10
1.8,204 Black Wolf Run,10
0.7,576 Brentwood Dr,9
1.5,127 Lakota Pass,10
1.4,Golden Bear Dr,10
0.7,576 Brentwood Dr,9
1.2,211 Golden Bear Dr,10
4.3,1013 Hidden Hills Dr,10
4.3,1013 Hidden Hills Dr,10
0.6,151 Littleton Dr,9
0.7,576 Brentwood Dr,9
0.7,576 Brentwood Dr,9
0.7,576 Brentwood Dr,9
0.7,576 Brentwood Dr,9
0.7,576 Brentwood Dr,9
4.3,1013 Hidden Hills Dr,10
3.2,397 Emma Loop,9
9.7,7934 El Dorado Dr,10
4.3,1013 Hidden Hills Dr,10
4.3,1013 Hidden Hills Dr,10
2.0,13316 Evergreen Way,9
10.1,8701 W View Rd,10
6.5,580 Stone View Trl,10
5.8,6 Heritage Oaks Dr,10
0.6,558 Merion Dr,9
0.5,101 Pagosa Ct,9
4.9,12900 Wells Fargo St,10
0.7,576 Brentwood Dr,9
12.1,273 Jacksdaw Ln,10
0.8,241 Rugged Earth Dr,9
10.4,7011 Halesboro,10
1.5,11036 Arroyo Cyn,10
10.4,7020 Halesboro,10
4.1,7100 Smokey Hill Rd,9
10.4,7011 Halesboro,10
10.4,7011 Halesboro,10
10.6,10503 Superview Dr,10
10.4,7011 Halesboro,10
3.9,8309 Roan Ln,9
3.6,7216 S Brook Dr,9
4.0,7706 Fenton Cv,9
14.7,12619 Fitzhugh Rd UNIT C,10
2.4,6906 Covered Bridge Dr,9
3.3,7106 S Brook Dr,9
2.9,7303 Mowinkle Dr,9
3.5,7503 Dawn Hill Cir,9
3.4,7102 Whispering Creek Ct,9
4.1,7102 Seneca Cir,9
2.2,521 Brandon Way,10
2.3,817 Marly Way,10
0.7,903 Crystal Mountain Dr,10
2.6,1301 N Weston Ln,10
2.4,7805 Brightman Ln,10
1.8,200 N Lake Hills Dr APT A,10
0.4,9296 Scenic Bluff Dr,10
2.5,1108 Marly Way,10
2.4,1304 Canyon Edge Dr,10
2.4,10908 River Terrace Cir,10
3.2,(Undisclosed Address),10
3.1,2314 Bahama Rd,10
1.7,100 N Lake Hills Dr,10
3.2,2702 De Soto Dr,10
0.7,702 Crystal Mountain Dr,10
3.2,2604 Del Rio Dr,10
3.2,Edgewater Dr,10
2.7,1810 Miami Dr,10
2.3,901 Marly Way,10
2.2,433 Brandon Way,10
2.8,1814 Ski Slope Dr,10
3.3,2708 San Juan Dr,10
2.0,208 Brandon Way,10
2.5,1115 Marly Way,10
1.8,9703 Westward Dr,10
2.8,Tonto Ln,10
3.2,2601 San Juan Dr,10
2.2,708 Elder Cir,10
2.2,1004 Ogden Dr,10
1.1,Dominion Hl,10
0.8,10091 Circleview Dr,10
2.6,1605 Lipan Trl,10
1.1,1604 Acacia Bud Dr,10
0.8,2727 Creeks Edge Pkwy,10
0.9,10305 Indigo Broom Loop,10
2.0,700 Brandon Way,10
0.7,708 Crystal Mountain Dr,10
0.7,9001 Deer Shadow Pass,10
2.5,9121 Camelback Dr,10
2.0,9904 Lake Ridge Dr,10
0.7,9302 Creeks Edge Cir,10
1.9,402 N Laurelwood Dr # A,10
1.8,6118 Mountain Villa Cv,10
1.9,415 N Tumbleweed Trl,10
0.5,4509 Balcones Dr,10
1.1,6107 Bon Terra Dr,10
1.6,6310 Sprucewood Cv,10
1.3,4513 Colorado Xing,10
0.7,3407 Foothill Ter,10
0.8,6533 E Hill Dr APT 26,10
0.8,2607 Hancock Dr,10
0.7,4501 Placid Pl,10
0.8,2636 W 49th St,10
0.7,3409 Ledgestone Dr,10
0.7,5512 Oakwood Cv APT 192,10
0.5,1820 W 39th St,9
0.6,4600 Crestway Dr,10
0.4,1815 W 39th St,9
0.8,6612 E Hill Dr,10
0.5,5017 W Park Dr,10
0.8,3839 Dry Creek Dr APT 115,10
0.6,4800 Placid Pl,10
2.5,5727 N Scout Island Cir,10
0.6,4102 Idlewild Rd,9
0.1,3840 Far West Blvd APT 101,10
0.3,6501 E Hill Dr APT 125,10
0.9,7604 Long Point Dr,10
0.8,4457 Stony Meadow Ln,10
0.1,3310 Hancock Dr,10
0.6,3501 Balcones Dr,10
0.8,3839 Dry Creek Dr APT 115,10
0.9,2615 W 45th St,9
1.3,5003 Cedro Trl,10
0.6,3602 Laurel Ledge Ln,10
1.5,5205 Tortuga Trl,10
0.9,3408 Mount Bonnell Rd,10
1.4,6306 Gato Path,10
0.5,4201 N Hills Dr,10
1.8,6006 Twin Valley Cv,10
1.8,6006 Twin Valley Cv,10
0.5,7502 Stonecliff Dr,10
0.3,5211 Valley Oak Dr,10
1.4,4118 Edwards Mountain Dr,10
0.3,4619 Madrona Dr,10
2.2,5800 Tom Wooten Cv,10
1.7,5823 Westslope Dr,10
1.5,5821 Mount Bonnell Rd,10
1.7,4807 Fern Holw,10
1.1,6112 Mountainclimb Dr,10
0.9,3905 Balcones Dr,10
0.8,3404 Monte Vista Dr,10
2.3,5805 Harrington Cv,10
0.1,3302 Big Bend Dr,10
1.5,5205 Tortuga Trl,10
0.6,4507 Ridge Oak Dr,10
1.0,6615 Candle Ridge Cv,10
0.4,1821 W 39th St # B,9
0.2,7110 Spurlock Dr,10
1.6,6002 Upvalley Run,10
0.4,1821 W 39th St # A,9
1.0,6004 Marquesa Dr,10
0.5,4205 N Hills Dr,10
0.8,4404 Deepwoods Dr,10
0.1,5002 Balcones Dr,10
1.0,4907 Strass Dr,10
0.6,3710 Hidden Holw,10
1.2,5816 Gentle Breeze Ter,10
0.6,4405 Balcones Dr,10
0.7,3803 Green Trl N,10
1.4,5209 Valburn Cir,10
0.5,4802 W Frances Pl,10
1.5,5600 Lemonwood Dr,10
1.1,4307 Island Ave,10
1.2,4600 Island Cv,10
0.6,7603 Shadyrock Dr,10
2.5,5618 N Scout Island Cir,10
1.4,6802 Ladera Norte,10
0.2,5014 Highland Ct,10
1.7,4805 Palisade Dr,10
0.7,W 44TH St,10
1.2,5610 Bonnell Vista St,10
1.4,5318 Valburn Cir,10
2.4,5505 Courtyard Dr,10
1.2,6000 Mesa Dr,10
0.8,3511 Greystone Dr,10
0.3,3921 Sierra Dr,10
0.1,3203 Highland Ter W # A,10
0.4,6902 Mesa Dr,10
0.8,5921 Overlook Dr,10
0.1,5011 Balcones Dr # 2,10
0.8,3400 Mount Bonnell Rd,10
0.1,4902 Valley Oak Dr,10
1.5,4704 Palisade Dr,10
0.7,4508 Bull Creek Rd,10
0.5,6102 Highland Hills Dr,10
0.6,5720 Highland Hills Dr,10
1.0,3916 Glengarry Dr,10
0.8,3431 N Hills Dr APT 102,10
0.7,3302 Laurel Cir,10
0.8,6533 E Hill Dr APT 26,10
1.0,4910 Strass Dr,10
1.1,4405 Island Cv,10
1.6,5505 Lakemoore Dr,10
0.5,4101 Ridgelea Dr,9
0.4,5011 W Frances Pl,10
1.5,4216 Front Range Ln,10
2.7,12620 Monte Castillo Pkwy,9
2.7,12609 Monte Castillo Pkwy,9
4.2,14012 Skyline Dr,9
0.4,11904 Montclair Bnd,10
0.3,2213 Rio Mesa Dr,10
1.5,11716 Red Oak Valley Ln,10
1.9,11621 Hunters Green Trl,10
0.3,109 Dawn River Cv,10
2.0,12712 Cedar St,10
0.8,12100 Capitol Saddlery Trl,10
1.4,11601 Shadestone Ter,10
0.4,12216 Rayo De Luna Ln,10
0.8,3316 Oxsheer Dr,10
1.2,104 St Lucia,10
1.7,11508 Silver Lake Ct,10
2.0,11409 Woodland Hills Trl,10
1.2,12700 River Bnd,10
3.5,1612 Morning Moon Cir,9
0.4,N/a,10
0.5,600 Santaluz Path,10
0.8,3417 Zebecca Creek Dr,10
1.9,5118 Mansfield View Ct,10
0.6,12305 Fairway Cv,10
1.3,1501 Minnie Dr,10
1.1,1204 S Quinlan Park Rd,10
0.7,12817 Arbor Lake Cv,10
1.0,14308 Flat Top Ranch Rd,10
1.4,14618 Mansfield Dam Ct UNIT 10,9
1.2,12405 River Bnd TRLR 8,10
0.1,12709 Lipizzan Ct,10
1.5,13103 Mansfield Dr Tx,10
0.7,12204 Fairway Cv,10
4.0,13908 Skyline Dr,9
1.2,4121 Canyon Glen Cir,10
0.6,12712 Coralberry Cv,10
0.3,12617 Capella Trl,10
0.5,13301 Bright Sky Overlook,10
1.8,12229 Long Bay Cv,10
0.6,12929 Zen Gardens Way,10
0.4,2604 Rio Mesa Dr,10
0.6,12317 Fairway Cv,10
3.0,13237 Villa Montana Way,9
1.7,Travis View Loop,10
0.4,12829 Lantana Ridge Ct,10
1.0,13601 Montview Dr,10
1.8,14423 Agarita Rd,9
1.4,4748 Eck Ln,9
2.6,5931 Hiline Rd # 1203,9
2.4,532 Ladin Ln,10
1.9,329 Marina Village Cv # 329,10
1.2,104 St Lucia,10
1.2,104 St Lucia,10
0.9,2636 Crazyhorse Pass,9
1.3,14809 Foy Dr,9
1.1,3001 Spotted Wolf Trl,9
3.5,116 Evolutions Path,9
0.5,2600 Ranch Road 620 N,9
1.2,101 St Lucia,10
1.7,116 Royal Oak Ln,10
1.3,1903 Moeta Dr,9
2.8,27 Stone Terrace Dr # 15,9
2.6,5931 Hiline Rd # 1203,9
2.5,Murfin Rd,9
0.9,16010 Fontaine Ave,9
1.2,102 Largo Cv,10
1.0,205 Canyon Turn Trl,10
1.2,804 Rough Hollow Dr,10
1.5,14006 Saskatchewan Dr,9
0.5,16206 Sydney Carol Ln,9
1.1,14503 Running Deer Trl,9
1.0,14403 Cochise Trl,9
2.6,5931 Hiline Rd # 1302,9
1.0,4000 Ranch Road 620 N # 19,9
1.0,513 Flamingo Blvd,10
1.2,104 Largo Cv,10
2.6,5931 Hiline Rd # 1203,9
2.4,1221 Challenger,10
1.1,233 Canyon Turn Trl,10
2.6,105 Oak Glen Cv,10
1.2,416 Marina View Way,10
1.5,5101 Timothy Cir,9
1.2,408 Marina View Way,10
